Detection_time,Catalogue,Comments
2022-04-21T13:35:37.723000Z,Common_detection,Ambiguous
2022-04-21T13:35:46.278000Z,Common_detection,Ambiguous
2022-04-21T14:00:56.221000Z,Common_detection,Reliable
2022-04-21T14:02:03.956000Z,Common_detection,Reliable
2022-04-21T14:02:36.031000Z,Common_detection,Reliable
2022-04-21T14:04:14.721000Z,Common_detection,Reliable
2022-04-21T14:04:29.703000Z,Common_detection,Reliable
2022-04-21T14:04:39.916000Z,Common_detection,Reliable
2022-04-21T14:05:03.035000Z,Common_detection,Reliable
2022-04-21T14:05:30.474000Z,Common_detection,Reliable
2022-04-21T14:06:21.097000Z,Common_detection,Reliable
2022-04-21T14:07:15.339000Z,Common_detection,Reliable
2022-04-21T14:07:48.403000Z,Common_detection,Reliable
2022-04-21T14:07:49.273000Z,Common_detection,Reliable
2022-04-21T14:08:47.952000Z,Common_detection,Reliable
2022-04-21T14:09:47.549000Z,Common_detection,Reliable
2022-04-21T14:10:30.188000Z,Common_detection,Reliable
2022-04-21T14:11:36.836000Z,Common_detection,Reliable
2022-04-21T14:11:51.265000Z,Common_detection,Reliable
2022-04-21T14:12:04.006000Z,Common_detection,Reliable
2022-04-21T14:12:11.975000Z,Common_detection,Reliable
2022-04-21T14:12:25.452000Z,Common_detection,Reliable
2022-04-21T14:13:02.634000Z,Common_detection,Reliable
2022-04-21T14:13:10.852000Z,Common_detection,Reliable
2022-04-21T14:13:57.493000Z,Common_detection,Reliable
2022-04-21T14:14:18.655000Z,Common_detection,Reliable
2022-04-21T14:15:04.441000Z,Common_detection,Reliable
2022-04-21T14:15:29.100000Z,Common_detection,Reliable
2022-04-21T14:15:40.585000Z,Common_detection,Reliable
2022-04-21T14:16:49.072000Z,Common_detection,Reliable
2022-04-21T14:16:53.542000Z,Common_detection,Reliable
2022-04-21T14:17:00.424000Z,Common_detection,Reliable
2022-04-21T14:17:05.396000Z,Common_detection,Reliable
2022-04-21T14:18:05.812000Z,Common_detection,Reliable
2022-04-21T14:18:19.257000Z,Common_detection,Reliable
2022-04-21T14:19:07.906000Z,Common_detection,Reliable
2022-04-21T14:19:33.921000Z,Common_detection,Reliable
2022-04-21T14:19:52.219000Z,Common_detection,Reliable
2022-04-21T14:20:25.951000Z,Common_detection,Reliable
2022-04-21T14:20:32.748000Z,Common_detection,Reliable
2022-04-21T14:20:35.962000Z,Common_detection,Reliable
2022-04-21T14:20:40.484000Z,Common_detection,Reliable
2022-04-21T14:21:11.673000Z,Common_detection,Reliable
2022-04-21T14:21:36.316000Z,Common_detection,Reliable
2022-04-21T14:21:47.533000Z,Common_detection,Reliable
2022-04-21T14:22:44.309000Z,Common_detection,Reliable
2022-04-21T14:22:49.214000Z,Common_detection,Reliable
2022-04-21T14:23:15.557000Z,Common_detection,Reliable
2022-04-21T14:24:22.889000Z,Common_detection,Reliable
2022-04-21T14:24:25.166000Z,Common_detection,Reliable
2022-04-21T14:24:36.483000Z,Common_detection,Reliable
2022-04-21T14:24:38.710000Z,Common_detection,Reliable
2022-04-21T14:25:27.627000Z,Common_detection,Reliable
2022-04-21T14:26:06.836000Z,Common_detection,Reliable
2022-04-21T14:26:12.827000Z,Common_detection,Reliable
2022-04-21T14:26:53.777000Z,Common_detection,Reliable
2022-04-21T14:27:47.694000Z,Common_detection,Reliable
2022-04-21T14:28:03.503000Z,Common_detection,Reliable
2022-04-21T14:28:23.374000Z,Common_detection,Reliable
