eventNum,File Timestamp (UTC),Mseis EVT
1,20220417 04:03:26.80500,2
2,20220417 04:12:06.40500,11
3,20220417 04:17:10.45200,13
4,20220417 04:17:35.58000,14
5,20220417 04:17:49.84900,15
6,20220417 04:20:04.51000,19
7,20220417 04:21:18.50800,21
8,20220417 04:23:32.67500,24
9,20220417 04:23:33.24400,25
10,20220417 04:24:44.87600,26
11,20220417 04:25:24.06400,27
12,20220417 04:27:11.20200,28
13,20220417 04:27:20.39800,29
14,20220417 04:27:21.21500,30
15,20220417 04:28:31.78300,31
16,20220417 04:28:40.48200,32
17,20220417 04:31:12.18800,35
18,20220417 04:37:17.13200,37
19,20220417 04:42:43.30400,39
20,20220417 04:42:44.27600,40
21,20220417 04:50:05.63300,43
22,20220417 04:50:36.81900,44
23,20220417 04:56:07.73800,45
24,20220417 05:04:02.37300,3
25,20220417 05:05:59.15800,5
26,20220417 05:08:36.86000,6
27,20220417 05:09:54.78900,7
28,20220417 05:13:45.25200,15
29,20220417 05:46:02.69700,22
30,20220417 05:51:14.09000,24
31,20220417 06:13:12.69800,8
32,20220417 06:42:27.95700,22
33,20220417 06:46:56.87100,24
34,20220417 08:55:08.57700,5
35,20220417 11:00:03.53600,1
36,20220418 00:44:14.99100,2
37,20220418 02:31:13.01000,3
38,20220418 02:31:14.33400,4
39,20220418 02:34:54.93000,5
40,20220418 02:34:55.60900,6
41,20220418 02:34:56.57400,7
42,20220418 13:02:04.26200,1
43,20220418 21:22:11.20200,1
44,20220418 23:58:01.80600,3
45,20220419 07:47:31.94200,13
46,20220419 13:44:52.45500,49
47,20220419 13:45:43.62600,50
48,20220419 13:46:05.59400,51
49,20220419 13:46:07.59400,52
50,20220419 13:47:39.39100,53
51,20220419 13:48:24.56500,54
52,20220419 13:49:17.61800,55
53,20220419 13:50:01.09400,56
54,20220419 13:50:40.11300,57
55,20220419 13:51:20.37800,58
56,20220419 13:51:48.38500,59
57,20220419 13:52:31.70200,60
58,20220419 13:52:38.55500,61
59,20220419 13:53:13.80700,62
60,20220419 13:53:40.05500,63
61,20220419 13:53:59.91200,64
62,20220419 13:54:41.47200,65
63,20220419 13:55:19.11100,66
64,20220419 13:55:34.55300,67
65,20220419 13:56:16.46400,68
66,20220419 13:57:26.52300,70
67,20220419 13:58:22.42800,71
68,20220419 13:58:26.92300,72
69,20220419 13:59:29.33000,73
70,20220419 14:00:37.03900,1
71,20220419 14:01:29.36000,2
72,20220419 14:02:24.33500,3
73,20220419 14:03:58.98100,4
74,20220419 14:05:34.15600,5
75,20220419 14:08:54.77400,7
76,20220419 14:10:21.86500,8
77,20220419 14:13:11.86700,9
78,20220419 14:14:07.71400,11
79,20220419 14:14:56.72900,12
80,20220419 14:18:59.76900,15
81,20220419 14:20:23.63500,16
82,20220419 14:21:21.33600,18
83,20220419 14:24:39.61800,20
84,20220419 14:25:43.23000,23
85,20220419 14:30:58.61100,25
86,20220419 14:47:47.94600,34
87,20220419 14:51:12.84500,39
88,20220419 14:55:15.63600,44
89,20220419 15:12:05.83100,4
90,20220419 15:12:10.61300,5
91,20220419 15:19:06.56100,8
92,20220419 15:23:48.63500,9
93,20220419 15:24:21.00100,11
94,20220419 15:28:07.81400,13
95,20220419 15:35:45.04100,17
96,20220419 19:03:33.08500,1
97,20220420 00:00:39.51700,1
98,20220420 03:17:59.80100,4
99,20220420 14:50:48.82700,93
100,20220420 15:00:40.60000,2
101,20220420 15:00:41.69500,3
102,20220421 05:56:37.92900,4
103,20220421 13:35:37.61300,2
104,20220421 13:35:38.19000,3
105,20220421 13:35:40.22100,4
106,20220421 13:35:41.61300,5
107,20220421 13:35:43.57900,6
108,20220421 13:35:45.83100,7
109,20220421 13:35:46.59800,8
110,20220421 13:35:47.46200,9
111,20220421 13:35:48.22100,10
112,20220421 13:35:49.11600,11
113,20220421 13:35:49.81300,12
114,20220421 14:00:56.19300,1
115,20220421 14:02:03.85500,2
116,20220421 14:02:36.07500,3
117,20220421 14:04:14.58200,4
118,20220421 14:04:29.69800,5
119,20220421 14:04:39.83900,6
120,20220421 14:05:03.09100,7
121,20220421 14:05:30.36200,8
122,20220421 14:06:20.96000,9
123,20220421 14:07:15.19400,10
124,20220421 14:07:48.28100,11
125,20220421 14:07:49.21100,12
126,20220421 14:08:47.85000,13
127,20220421 14:09:47.45900,14
128,20220421 14:10:30.07700,15
129,20220421 14:11:36.70700,16
130,20220421 14:11:51.16000,17
131,20220421 14:12:04.43900,18
132,20220421 14:12:11.92900,19
133,20220421 14:12:25.37500,20
134,20220421 14:13:02.54600,21
135,20220421 14:13:10.76900,22
136,20220421 14:13:57.40200,23
137,20220421 14:14:18.54600,24
138,20220421 14:15:04.76200,25
139,20220421 14:15:05.56400,26
140,20220421 14:15:29.02100,27
141,20220421 14:15:40.49600,28
142,20220421 14:16:39.42100,29
143,20220421 14:16:48.94700,30
144,20220421 14:16:53.42700,31
145,20220421 14:17:00.33200,32
146,20220421 14:17:05.22500,33
147,20220421 14:18:05.71000,34
148,20220421 14:18:06.53500,35
149,20220421 14:18:19.09900,36
150,20220421 14:19:07.84300,37
151,20220421 14:19:33.77500,38
152,20220421 14:19:52.39000,39
153,20220421 14:20:25.84300,40
154,20220421 14:20:32.59600,41
155,20220421 14:20:33.41900,42
156,20220421 14:20:35.78800,43
157,20220421 14:20:40.38500,44
158,20220421 14:21:11.57600,45
159,20220421 14:21:36.15100,46
160,20220421 14:21:47.37900,47
161,20220421 14:21:58.29400,48
162,20220421 14:22:44.18300,49
163,20220421 14:22:49.07000,50
164,20220421 14:23:15.45400,51
165,20220421 14:24:22.96000,52
166,20220421 14:24:25.09900,53
167,20220421 14:24:36.29300,54
168,20220421 14:24:38.52200,55
169,20220421 14:25:27.50200,59
170,20220421 14:26:06.66300,60
171,20220421 14:26:12.89000,61
172,20220421 14:26:53.70500,63
173,20220421 14:27:24.39800,64
174,20220421 14:27:47.60800,65
175,20220421 14:28:03.38500,66
176,20220421 14:28:23.29700,67
177,20220421 14:28:32.52100,68
178,20220421 14:29:14.63500,69
179,20220421 14:29:30.21800,70
180,20220421 14:29:34.63700,71
181,20220421 14:29:35.57000,72
182,20220421 14:30:14.86200,73
183,20220421 14:30:37.82600,74
184,20220421 14:30:48.64500,75
185,20220421 14:30:51.69100,76
186,20220421 14:31:28.51400,77
187,20220421 14:31:36.30900,78
188,20220421 14:32:31.84000,80
189,20220421 14:32:33.39700,81
190,20220421 14:32:35.27000,82
191,20220421 14:32:44.73900,83
192,20220421 14:33:19.82100,84
193,20220421 14:33:24.61200,85
194,20220421 14:33:25.99700,86
195,20220421 14:34:01.38600,87
196,20220421 14:34:38.52500,88
197,20220421 14:34:46.91200,89
198,20220421 14:35:32.96100,90
199,20220421 14:35:54.13800,91
200,20220421 14:35:54.39800,92
201,20220421 14:36:26.53200,93
202,20220421 14:36:29.22400,94
203,20220421 14:36:40.63900,95
204,20220421 14:37:06.73400,96
205,20220421 14:37:09.39800,97
206,20220421 14:37:40.09800,98
207,20220421 14:37:51.39200,99
208,20220421 14:38:01.51200,100
209,20220421 14:38:09.39800,101
210,20220421 14:38:34.58100,102
211,20220421 14:39:11.35700,103
212,20220421 14:39:16.20500,104
213,20220421 14:39:43.39400,105
214,20220421 14:39:46.51700,106
215,20220421 14:39:55.67100,107
216,20220421 14:40:43.16200,108
217,20220421 14:41:18.90400,110
218,20220421 14:41:21.92900,111
219,20220421 14:41:27.74300,112
220,20220421 14:41:34.90500,113
221,20220421 14:41:39.39800,114
222,20220421 14:41:49.65100,115
223,20220421 14:42:11.53200,116
224,20220421 14:42:27.35700,117
225,20220421 14:43:16.71100,119
226,20220421 14:43:35.36500,120
227,20220421 14:44:25.34200,121
228,20220421 14:44:49.10600,122
229,20220421 14:44:54.74900,123
230,20220421 14:45:01.24500,124
231,20220421 14:45:07.05100,125
232,20220421 14:45:52.29300,126
233,20220421 14:46:11.90600,127
234,20220421 14:46:15.63700,128
235,20220421 14:46:21.41300,129
236,20220421 14:46:30.96700,130
237,20220421 14:46:56.68800,132
238,20220421 14:47:10.94900,133
239,20220421 14:48:13.62800,134
240,20220421 14:48:20.76500,135
241,20220421 14:48:32.22300,136
242,20220421 14:48:51.75800,137
243,20220421 14:48:59.98600,138
244,20220421 14:49:00.78700,139
